Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,7.670000,7.750000,7.520000,7.540000,7.048261,343100
2019-05-29,7.460000,7.540000,7.250000,7.310000,6.833261,397700
2019-05-30,7.270000,7.340000,7.080000,7.110000,6.646305,361100
2019-05-31,7.020000,7.170000,6.970000,7.030000,6.571522,518400
2019-06-03,6.970000,7.210000,6.960000,7.040000,6.580870,428000
2019-06-04,7.120000,7.790000,7.120000,7.600000,7.104348,817700
2019-06-05,7.650000,7.800000,7.250000,7.320000,6.842609,597400
2019-06-06,7.310000,7.460000,7.160000,7.280000,6.805218,357600
2019-06-07,7.300000,7.330000,7.090000,7.200000,6.730435,261700
2019-06-10,7.200000,7.340000,7.060000,7.090000,6.627609,328700
2019-06-11,7.120000,7.200000,6.980000,7.130000,6.665000,347000
2019-06-12,7.130000,7.280000,7.110000,7.250000,6.777174,206800
2019-06-13,7.310000,7.380000,7.220000,7.370000,6.889348,246200
2019-06-14,7.360000,7.510000,7.280000,7.440000,6.954783,224700
2019-06-17,7.450000,7.490000,7.310000,7.380000,6.898696,185700
2019-06-18,7.410000,7.840000,7.360000,7.800000,7.291305,533500
2019-06-19,7.780000,7.810000,7.550000,7.700000,7.197826,224200
2019-06-20,7.770000,7.850000,7.640000,7.650000,7.151087,199600
2019-06-21,7.660000,7.730000,7.460000,7.680000,7.179131,262900
2019-06-24,7.650000,7.650000,7.210000,7.240000,6.767826,216200
2019-06-25,7.240000,7.280000,7.070000,7.180000,6.711739,241100
2019-06-26,7.230000,7.280000,7.020000,7.110000,6.646305,169500
2019-06-27,7.120000,7.230000,6.980000,7.230000,6.758478,221300
2019-06-28,7.270000,7.350000,7.140000,7.320000,6.842609,280500
2019-07-01,7.370000,7.670000,7.370000,7.650000,7.151087,353500
2019-07-02,7.610000,7.680000,7.270000,7.350000,6.870652,180300
2019-07-03,7.370000,7.390000,7.180000,7.220000,6.749130,133900
2019-07-05,7.190000,7.760000,7.120000,7.730000,7.225870,303300
2019-07-08,7.670000,7.700000,7.460000,7.520000,7.029565,268600
2019-07-09,7.460000,7.670000,7.460000,7.660000,7.160435,150400
2019-07-10,7.650000,7.690000,7.360000,7.440000,6.954783,216800
2019-07-11,7.340000,7.380000,6.980000,7.010000,6.552826,374500
2019-07-12,6.980000,7.230000,6.840000,6.970000,6.515435,290100
2019-07-15,6.980000,6.980000,6.720000,6.850000,6.403261,332900
2019-07-16,6.810000,7.060000,6.810000,7.040000,6.580870,355000
2019-07-17,7.010000,7.010000,6.550000,6.570000,6.141522,284900
2019-07-18,6.550000,6.630000,6.410000,6.600000,6.169565,241600
2019-07-19,6.600000,6.660000,6.460000,6.550000,6.122827,117700
2019-07-22,6.530000,6.530000,6.280000,6.320000,5.907826,223400
2019-07-23,6.330000,6.400000,6.230000,6.340000,5.926522,215100
2019-07-24,6.340000,6.390000,6.120000,6.180000,5.776957,467500
2019-07-25,6.170000,6.240000,6.020000,6.040000,5.646087,427400
2019-07-26,6.070000,6.300000,5.980000,6.270000,5.861087,829600
2019-07-29,6.240000,6.450000,6.210000,6.430000,6.010652,320300
2019-07-30,6.370000,6.580000,6.330000,6.540000,6.113478,430500
2019-07-31,7.000000,7.000000,5.760000,6.110000,5.711522,1028500
2019-08-01,6.120000,6.150000,5.320000,5.380000,5.029130,676800
2019-08-02,5.400000,5.630000,5.330000,5.410000,5.057174,354100
2019-08-05,5.250000,5.260000,5.070000,5.170000,4.832826,292000
2019-08-06,5.250000,5.310000,5.000000,5.060000,4.730000,412700
2019-08-07,5.110000,5.140000,4.950000,4.970000,4.645869,446100
2019-08-08,5.050000,5.090000,4.940000,4.970000,4.645869,450200
2019-08-09,4.980000,4.980000,4.760000,4.760000,4.449565,371600
2019-08-12,4.770000,4.830000,4.670000,4.750000,4.440217,146100
2019-08-13,4.650000,4.980000,4.650000,4.790000,4.477609,237300
2019-08-14,4.680000,4.680000,4.510000,4.530000,4.234565,311200
2019-08-15,4.560000,4.560000,4.360000,4.390000,4.103695,294400
2019-08-16,4.460000,4.620000,4.410000,4.540000,4.243913,258300
2019-08-19,4.630000,4.740000,4.540000,4.610000,4.309348,346900
2019-08-20,4.610000,4.610000,4.350000,4.530000,4.234565,311500
2019-08-21,4.590000,4.630000,4.500000,4.520000,4.225217,146400
2019-08-22,4.550000,4.730000,4.550000,4.710000,4.402826,271200
2019-08-23,4.670000,4.830000,4.610000,4.640000,4.337391,444800
2019-08-26,4.670000,4.840000,4.630000,4.820000,4.505652,301000
2019-08-27,4.850000,4.860000,4.590000,4.610000,4.309348,324500
2019-08-28,4.590000,4.770000,4.590000,4.630000,4.328043,165900
2019-08-29,4.700000,4.730000,4.550000,4.630000,4.328043,275200
2019-08-30,4.660000,4.660000,4.390000,4.480000,4.187826,209200
2019-09-03,4.440000,4.470000,4.150000,4.270000,3.991522,337600
2019-09-04,4.340000,4.400000,4.280000,4.320000,4.038261,171400
2019-09-05,4.350000,4.640000,4.310000,4.600000,4.300000,231400
2019-09-06,4.610000,4.670000,4.540000,4.590000,4.290652,215000
2019-09-09,4.600000,4.820000,4.600000,4.800000,4.486957,213800
2019-09-10,4.800000,5.090000,4.800000,5.050000,4.720653,459000
2019-09-11,5.050000,5.130000,4.920000,5.120000,4.786087,326000
2019-09-12,5.110000,5.190000,4.920000,4.940000,4.617826,310300
2019-09-13,4.960000,5.100000,4.850000,4.890000,4.571087,208300
2019-09-16,4.870000,4.930000,4.760000,4.780000,4.468261,238100
2019-09-17,4.780000,4.780000,4.570000,4.630000,4.328043,181700
2019-09-18,4.640000,4.640000,4.410000,4.430000,4.141087,203000
2019-09-19,4.450000,4.670000,4.370000,4.510000,4.215870,185700
2019-09-20,4.500000,4.630000,4.300000,4.320000,4.038261,185900
2019-09-23,4.320000,4.370000,4.170000,4.310000,4.028913,195000
2019-09-24,4.380000,4.380000,4.200000,4.290000,4.010217,166400
2019-09-25,4.300000,4.380000,4.250000,4.270000,3.991522,115800
2019-09-26,4.230000,4.270000,4.070000,4.250000,3.972826,279500
2019-09-27,4.300000,4.470000,4.240000,4.360000,4.075653,185200
2019-09-30,4.360000,4.500000,4.360000,4.420000,4.131739,190000
2019-10-01,4.450000,4.630000,4.390000,4.440000,4.150435,239400
2019-10-02,4.350000,4.470000,4.310000,4.460000,4.169130,239900
2019-10-03,4.390000,4.560000,4.370000,4.530000,4.234565,133700
2019-10-04,4.460000,4.550000,4.390000,4.420000,4.131739,141600
2019-10-07,4.400000,4.480000,4.380000,4.400000,4.113044,174600
2019-10-08,4.310000,4.370000,4.200000,4.210000,3.935435,180300
2019-10-09,4.250000,4.380000,4.210000,4.340000,4.056957,285300
2019-10-10,4.300000,4.430000,4.240000,4.250000,3.972826,281600
2019-10-11,4.360000,4.570000,4.350000,4.490000,4.197174,170300
2019-10-14,4.410000,4.550000,4.390000,4.480000,4.187826,121400
2019-10-15,4.480000,4.620000,4.410000,4.560000,4.262609,179100
2019-10-16,4.560000,4.630000,4.500000,4.550000,4.253261,202300
2019-10-17,4.740000,4.750000,4.590000,4.680000,4.374783,233500
2019-10-18,4.630000,4.730000,4.630000,4.700000,4.393478,170900
2019-10-21,4.710000,4.890000,4.650000,4.860000,4.543044,237000
2019-10-22,4.850000,4.870000,4.640000,4.820000,4.505652,222300
2019-10-23,4.820000,5.020000,4.800000,4.990000,4.664565,221000
2019-10-24,5.000000,5.000000,4.840000,4.910000,4.589783,221400
2019-10-25,4.870000,5.030000,4.820000,4.950000,4.627174,181600
2019-10-28,4.970000,5.150000,4.890000,4.920000,4.599131,198000
2019-10-29,4.900000,5.140000,4.800000,5.050000,4.720653,559600
2019-10-30,4.750000,4.870000,3.940000,3.970000,3.711087,1667100
2019-10-31,3.950000,4.320000,3.890000,4.220000,3.944782,554500
2019-11-01,4.230000,4.390000,4.180000,4.260000,3.982174,219700
2019-11-04,4.320000,4.400000,4.080000,4.100000,3.832609,387200
2019-11-05,4.130000,4.390000,4.030000,4.050000,3.785870,323100
2019-11-06,4.030000,4.060000,3.850000,4.020000,3.757826,465700
2019-11-07,4.050000,4.140000,3.950000,3.960000,3.701739,309300
2019-11-08,3.960000,3.960000,3.830000,3.940000,3.683043,373500
2019-11-11,3.940000,3.990000,3.680000,3.850000,3.598913,419400
2019-11-12,3.830000,3.850000,3.650000,3.660000,3.421304,282600
2019-11-13,3.720000,3.800000,3.580000,3.780000,3.533478,425000
2019-11-14,3.790000,3.850000,3.750000,3.810000,3.561522,319400
2019-11-15,3.840000,3.840000,3.680000,3.780000,3.533478,282700
2019-11-18,3.770000,3.840000,3.720000,3.810000,3.561522,142300
2019-11-19,3.800000,3.810000,3.570000,3.740000,3.496087,435600
2019-11-20,3.700000,3.760000,3.620000,3.730000,3.486739,269300
2019-11-21,3.720000,3.820000,3.680000,3.780000,3.533478,250400
2019-11-22,3.710000,3.830000,3.710000,3.780000,3.533478,249400
2019-11-25,3.800000,4.040000,3.800000,4.040000,3.776522,288000
2019-11-26,4.050000,4.090000,3.940000,3.960000,3.701739,444600
2019-11-27,3.990000,4.120000,3.970000,4.080000,3.813913,220800
2019-11-29,4.080000,4.210000,4.060000,4.160000,3.888695,114700
